+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ur | Nu | Nu | St | En | Im | Im | Im | Na | Na | Li | Ag | Pr | Pa | Pa | Te | Te | Te | Vi | V |
| en |    | en | 20 | 19 | up | M. | en | Ni | en |    | 81 | e  | an | en |    |    | 19 |    |   |
| .w |    | .w | ,  | 74 | lo | Ni | .w | xo | .w |    | ye | Pr |    | .w |    |    | 74 |    |   |
| ik |    | ik | 19 |    | ad | xo | ik | n  | ik |    | ar | es |    | ik |    |    | )  |    |   |
| ip |    | ip | 69 |    | .w | n, | ip |    | ip |    | s) | id |    | ip |    |    |    |    |   |
| ed |    | ed |    |    | ik | ca | ed |    | ed |    |    | en |    | ed |    |    |    |    |   |
| ia |    | ia |    |    | im | .  | ia |    | ia |    |    | t  |    | ia |    |    |    |    |   |
| .o |    | .o |    |    | ed | 19 | .o |    | .o |    |    | of |    | .o |    |    |    |    |   |
| rg |    | rg |    |    | ia | 35 | rg |    | rg |    |    | th |    | rg |    |    |    |    |   |
| /w |    | /w |    |    | .o | -  | /w |    | /w |    |    | e  |    | /w |    |    |    |    |   |
| ik |    | ik |    |    | rg | 19 | ik |    | ik |    |    | Un |    | ik |    |    |    |    |   |
| i/ |    | i/ |    |    | /w | 82 | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    |   |
| Li |    | Pr |    |    | ik | -  | Fi |    | Ri |    |    | ed |    | Re |    |    |    |    |   |
| st |    | es |    |    | ip | NA | le |    | ch |    |    | St |    | pu |    |    |    |    |   |
| _o |    | id |    |    | ed | RA | :R |    | ar |    |    | at |    | bl |    |    |    |    |   |
| f_ |    | en |    |    | ia | -  | ic |    | d_ |    |    | es |    | ic |    |    |    |    |   |
| Pr |    | cy |    |    | /c | 53 | ha |    | Ni |    |    |  ( |    | an |    |    |    |    |   |
| es |    | _o |    |    | om | 06 | rd |    | xo |    |    | 19 |    | _P |    |    |    |    |   |
| id |    | f_ |    |    | mo | 79 | _M |    | n  |    |    | 53 |    | ar |    |    |    |    |   |
| en |    | Ri |    |    | ns | .t | ._ |    |    |    |    | –1 |    | ty |    |    |    |    |   |
| ts |    | ch |    |    | /t | if | Ni |    |    |    |    | 96 |    | _( |    |    |    |    |   |
| _o |    | ar |    |    | hu |    | xo |    |    |    |    | 1) |    | Un |    |    |    |    |   |
| f_ |    | d_ |    |    | mb |    | n, |    |    |    |    |    |    | it |    |    |    |    |   |
| th |    | Ni |    |    | /9 |    | _c |    |    |    |    |    |    | ed |    |    |    |    |   |
| e_ |    | xo |    |    | /9 |    | a. |    |    |    |    |    |    | _S |    |    |    |    |   |
| Un |    | n  |    |    | 8/ |    | _1 |    |    |    |    |    |    | ta |    |    |    |    |   |
| it |    |    |    |    | Ri |    | 93 |    |    |    |    |    |    | te |    |    |    |    |   |
| ed |    |    |    |    | ch |    | 5_ |    |    |    |    |    |    | s) |    |    |    |    |   |
| _S |    |    |    |    | ar |    | -_ |    |    |    |    |    |    |    |    |    |    |    |   |
| ta |    |    |    |    | d_ |    | 19 |    |    |    |    |    |    |    |    |    |    |    |   |
| te |    |    |    |    | M. |    | 82 |    |    |    |    |    |    |    |    |    |    |    |   |
| s  |    |    |    |    | _N |    | _- |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ix |    | _N |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    | AR |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    | A_ |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | C_ |    | -_ |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ca |    | 53 |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ._ |    | 06 |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 19 |    | 79 |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 35 |    | .t |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    | if |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 98 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | NA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | RA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _5 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 30 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 67 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 9. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | lo |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ss |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | y- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pa |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 1- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ri |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ch |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ar |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | M. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _N |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ix |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | C_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ca |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ._ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 35 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 98 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | NA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | RA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _5 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 30 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 67 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 9. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 37 | ht | Ja | Au | ht | Ri | ht | Ri | ht | 19 | (L | 36 | Re | ht | (1 | 47 | (1 | Ge | h |
| tp |    | tp | nu | gu | tp | ch | tp | ch | tp | 13 | iv | th | pu | tp | 97 |    | 97 | ra | t |
| s: |    | s: | ar | st | s: | ar | s: | ar | s: | –  | ed |  V | bl | s: | 2) |    | 3) | ld | t |
| // |    | // | y  | 9, | // | d  | // | d  | // |    | :  | ic | ic | // |    |    |  ( | Fo | p |
| en |    | en | 20 | 19 | up | M. | en | Ni | en |    | 81 | e  | an | en |    |    | 19 | rd | s |
| .w |    | .w | ,  | 74 | lo | Ni | .w | xo | .w |    | ye | Pr |    | .w |    |    | 74 |    | : |
| ik |    | ik | 19 |    | ad | xo | ik | n  | ik |    | ar | es |    | ik |    |    | )  |    | / |
| ip |    | ip | 69 |    | .w | n, | ip |    | ip |    | s) | id |    | ip |    |    |    |    | / |
| ed |    | ed |    |    | ik | ca | ed |    | ed |    |    | en |    | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | .  | ia |    | ia |    |    | t  |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | 19 | .o |    | .o |    |    | of |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia | 35 | rg |    | rg |    |    | th |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o | -  | /w |    | /w |    |    | e  |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg | 19 | ik |    | ik |    |    | Un |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w | 82 | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik | -  | Fi |    | Ri |    |    | ed |    | Re |    |    |    |    | p |
| st |    | es |    |    | ip | NA | le |    | ch |    |    | St |    | pu |    |    |    |    | e |
| _o |    | id |    |    | ed | RA | :R |    | ar |    |    | at |    | bl |    |    |    |    | d |
| f_ |    | en |    |    | ia | -  | ic |    | d_ |    |    | es |    | ic |    |    |    |    | i |
| Pr |    | cy |    |    | /c | 53 | ha |    | Ni |    |    |  ( |    | an |    |    |    |    | a |
| es |    | _o |    |    | om | 06 | rd |    | xo |    |    | 19 |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo | 79 | _M |    | n  |    |    | 53 |    | ar |    |    |    |    | o |
| en |    | Ri |    |    | ns | .t | ._ |    |    |    |    | –1 |    | ty |    |    |    |    | r |
| ts |    | ch |    |    | /t | if | Ni |    |    |    |    | 96 |    | _( |    |    |    |    | g |
| _o |    | ar |    |    | hu |    | xo |    |    |    |    | 1) |    | Un |    |    |    |    | / |
| f_ |    | d_ |    |    | mb |    | n, |    |    |    |    |    |    | it |    |    |    |    | w |
| th |    | Ni |    |    | /9 |    | _c |    |    |    |    |    |    | ed |    |    |    |    | i |
| e_ |    | xo |    |    | /9 |    | a. |    |    |    |    |    |    | _S |    |    |    |    | k |
| Un |    | n  |    |    | 8/ |    | _1 |    |    |    |    |    |    | ta |    |    |    |    | i |
| it |    |    |    |    | Ri |    | 93 |    |    |    |    |    |    | te |    |    |    |    | / |
| ed |    |    |    |    | ch |    | 5_ |    |    |    |    |    |    | s) |    |    |    |    | G |
| _S |    |    |    |    | ar |    | -_ |    |    |    |    |    |    |    |    |    |    |    | e |
| ta |    |    |    |    | d_ |    | 19 |    |    |    |    |    |    |    |    |    |    |    | r |
| te |    |    |    |    | M. |    | 82 |    |    |    |    |    |    |    |    |    |    |    | a |
| s  |    |    |    |    | _N |    | _- |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | ix |    | _N |    |    |    |    |    |    |    |    |    |    |    | d |
|    |    |    |    |    | on |    | AR |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | %2 |    | A_ |    |    |    |    |    |    |    |    |    |    |    | F |
|    |    |    |    |    | C_ |    | -_ |    |    |    |    |    |    |    |    |    |    |    | o |
|    |    |    |    |    | ca |    | 53 |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | ._ |    | 06 |    |    |    |    |    |    |    |    |    |    |    | d |
|    |    |    |    |    | 19 |    | 79 |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 35 |    | .t |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    | if |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 98 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | NA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | RA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _5 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 30 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 67 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 9. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | lo |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ss |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | y- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pa |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 1- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ri |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ch |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ar |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | M. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _N |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ix |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | C_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ca |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ._ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 35 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 98 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | NA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | RA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _5 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 30 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 67 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 9. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 38 | ht | Au | Ja | ht | Ge | ht | Ge | ht | 19 | (L | 40 | Re | ht | (1 | 47 | (1 |    |   |
| tp |    | tp | gu | nu | tp | ra | tp | ra | tp | 13 | iv | th | pu | tp | 97 |    | 97 |    |   |
| s: |    | s: | st | ar | s: | ld | s: | ld | s: | –  | ed |  V | bl | s: | 2) |    | 3) |    |   |
| // |    | // | 9, | y  | // | Fo | // | Fo | // |    | :  | ic | ic | // |    |    |  ( |    |   |
| en |    | en | 19 | 20 | up | rd | en | rd | en |    | 93 | e  | an | en |    |    | 19 |    |   |
| .w |    | .w | 74 | ,  | lo | -  | .w |    | .w |    | ye | Pr |    | .w |    |    | 74 |    |   |
| ik |    | ik |    | 19 | ad | NA | ik |    | ik |    | ar | es |    | ik |    |    | )  |    |   |
| ip |    | ip |    | 77 | .w | RA | ip |    | ip |    | s) | id |    | ip |    |    |    |    |   |
| ed |    | ed |    |    | ik | -  | ed |    | ed |    |    | en |    | ed |    |    |    |    |   |
| ia |    | ia |    |    | im | 53 | ia |    | ia |    |    | t  |    | ia |    |    |    |    |   |
| .o |    | .o |    |    | ed | 06 | .o |    | .o |    |    | of |    | .o |    |    |    |    |   |
| rg |    | rg |    |    | ia | 80 | rg |    | rg |    |    | th |    | rg |    |    |    |    |   |
| /w |    | /w |    |    | .o | .t | /w |    | /w |    |    | e  |    | /w |    |    |    |    |   |
| ik |    | ik |    |    | rg | if | ik |    | ik |    |    | Un |    | ik |    |    |    |    |   |
| i/ |    | i/ |    |    | /w |    | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    |   |
| Li |    | Pr |    |    | ik |    | Fi |    | Ge |    |    | ed |    | Re |    |    |    |    |   |
| st |    | es |    |    | ip |    | le |    | ra |    |    | St |    | pu |    |    |    |    |   |
| _o |    | id |    |    | ed |    | :G |    | ld |    |    | at |    | bl |    |    |    |    |   |
| f_ |    | en |    |    | ia |    | er |    | _F |    |    | es |    | ic |    |    |    |    |   |
| Pr |    | cy |    |    | /c |    | al |    | or |    |    |    |    | an |    |    |    |    |   |
| es |    | _o |    |    | om |    | d_ |    | d  |    |    |    |    | _P |    |    |    |    |   |
| id |    | f_ |    |    | mo |    | Fo |    |    |    |    |    |    | ar |    |    |    |    |   |
| en |    | Ge |    |    | ns |    | rd |    |    |    |    |    |    | ty |    |    |    |    |   |
| ts |    | ra |    |    | /t |    | _- |    |    |    |    |    |    | _( |    |    |    |    |   |
| _o |    | ld |    |    | hu |    | _N |    |    |    |    |    |    | Un |    |    |    |    |   |
| f_ |    | _F |    |    | mb |    | AR |    |    |    |    |    |    | it |    |    |    |    |   |
| th |    | or |    |    | /d |    | A_ |    |    |    |    |    |    | ed |    |    |    |    |   |
| e_ |    | d  |    |    | /d |    | -_ |    |    |    |    |    |    | _S |    |    |    |    |   |
| Un |    |    |    |    | 0/ |    | 53 |    |    |    |    |    |    | ta |    |    |    |    |   |
| it |    |    |    |    | Ge |    | 06 |    |    |    |    |    |    | te |    |    |    |    |   |
| ed |    |    |    |    | ra |    | 80 |    |    |    |    |    |    | s) |    |    |    |    |   |
| _S |    |    |    |    | ld |    | .t |    |    |    |    |    |    |    |    |    |    |    |   |
| ta |    |    |    |    | _F |    | if |    |    |    |    |    |    |    |    |    |    |    |   |
| te |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
| s  |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | NA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | RA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _5 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 30 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 68 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 0. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | lo |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ss |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | y- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pa |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 1- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ld |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _F |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | NA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | RA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _5 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 30 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 68 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 0. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 38 | ht | Au | Ja | ht | Ge | ht | Ge | ht | 19 | (L | 40 | Re | ht | De |    | (1 | [j |   |
| tp |    | tp | gu | nu | tp | ra | tp | ra | tp | 13 | iv | th | pu | tp | ce |    | 97 | ]  |   |
| s: |    | s: | st | ar | s: | ld | s: | ld | s: | –  | ed |  V | bl | s: | mb |    | 3) |    |   |
| // |    | // | 9, | y  | // | Fo | // | Fo | // |    | :  | ic | ic | // | er |    |  ( |    |   |
| en |    | en | 19 | 20 | up | rd | en | rd | en |    | 93 | e  | an | en | 19 |    | 19 |    |   |
| .w |    | .w | 74 | ,  | lo | -  | .w |    | .w |    | ye | Pr |    | .w | ,  |    | 74 |    |   |
| ik |    | ik |    | 19 | ad | NA | ik |    | ik |    | ar | es |    | ik | 19 |    | )  |    |   |
| ip |    | ip |    | 77 | .w | RA | ip |    | ip |    | s) | id |    | ip | 74 |    |    |    |   |
| ed |    | ed |    |    | ik | -  | ed |    | ed |    |    | en |    | ed | –  |    |    |    |   |
| ia |    | ia |    |    | im | 53 | ia |    | ia |    |    | t  |    | ia | Ja |    |    |    |   |
| .o |    | .o |    |    | ed | 06 | .o |    | .o |    |    | of |    | .o | nu |    |    |    |   |
| rg |    | rg |    |    | ia | 80 | rg |    | rg |    |    | th |    | rg | ar |    |    |    |   |
| /w |    | /w |    |    | .o | .t | /w |    | /w |    |    | e  |    | /w | y  |    |    |    |   |
| ik |    | ik |    |    | rg | if | ik |    | ik |    |    | Un |    | ik | 20 |    |    |    |   |
| i/ |    | i/ |    |    | /w |    | i/ |    | i/ |    |    | it |    | i/ | ,  |    |    |    |   |
| Li |    | Pr |    |    | ik |    | Fi |    | Ge |    |    | ed |    | Re | 19 |    |    |    |   |
| st |    | es |    |    | ip |    | le |    | ra |    |    | St |    | pu | 77 |    |    |    |   |
| _o |    | id |    |    | ed |    | :G |    | ld |    |    | at |    | bl |    |    |    |    |   |
| f_ |    | en |    |    | ia |    | er |    | _F |    |    | es |    | ic |    |    |    |    |   |
| Pr |    | cy |    |    | /c |    | al |    | or |    |    |    |    | an |    |    |    |    |   |
| es |    | _o |    |    | om |    | d_ |    | d  |    |    |    |    | _P |    |    |    |    |   |
| id |    | f_ |    |    | mo |    | Fo |    |    |    |    |    |    | ar |    |    |    |    |   |
| en |    | Ge |    |    | ns |    | rd |    |    |    |    |    |    | ty |    |    |    |    |   |
| ts |    | ra |    |    | /t |    | _- |    |    |    |    |    |    | _( |    |    |    |    |   |
| _o |    | ld |    |    | hu |    | _N |    |    |    |    |    |    | Un |    |    |    |    |   |
| f_ |    | _F |    |    | mb |    | AR |    |    |    |    |    |    | it |    |    |    |    |   |
| th |    | or |    |    | /d |    | A_ |    |    |    |    |    |    | ed |    |    |    |    |   |
| e_ |    | d  |    |    | /d |    | -_ |    |    |    |    |    |    | _S |    |    |    |    |   |
| Un |    |    |    |    | 0/ |    | 53 |    |    |    |    |    |    | ta |    |    |    |    |   |
| it |    |    |    |    | Ge |    | 06 |    |    |    |    |    |    | te |    |    |    |    |   |
| ed |    |    |    |    | ra |    | 80 |    |    |    |    |    |    | s) |    |    |    |    |   |
| _S |    |    |    |    | ld |    | .t |    |    |    |    |    |    |    |    |    |    |    |   |
| ta |    |    |    |    | _F |    | if |    |    |    |    |    |    |    |    |    |    |    |   |
| te |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
