+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| url        | No._overal | No._in_sea | Title     | Directed_ | Written_b | Original_ | Descripti |
|            |            |            |           |           |           |           | that      |
|            |            |            |           |           |           |           | Alisa is  |
|            |            |            |           |           |           |           | being     |
|            |            |            |           |           |           |           | tormented |
|            |            |            |           |           |           |           | by one of |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | guards,   |
|            |            |            |           |           |           |           | Dale      |
|            |            |            |           |           |           |           | Holiday.  |
|            |            |            |           |           |           |           | Investiga |
|            |            |            |           |           |           |           | ting him, |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | finds     |
|            |            |            |           |           |           |           | evidence  |
|            |            |            |           |           |           |           | that he   |
|            |            |            |           |           |           |           | has       |
|            |            |            |           |           |           |           | murdered  |
|            |            |            |           |           |           |           | inmates   |
|            |            |            |           |           |           |           | before.   |
|            |            |            |           |           |           |           | He        |
|            |            |            |           |           |           |           | attacks   |
|            |            |            |           |           |           |           | her, and  |
|            |            |            |           |           |           |           | she accid |
|            |            |            |           |           |           |           | entally   |
|            |            |            |           |           |           |           | kills him |
|            |            |            |           |           |           |           | in self-  |
|            |            |            |           |           |           |           | defense.  |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 24         | 11         | "AKA      | Jennifer  | Jack      | March 8,  | Jessica   |
| .wikipedia |            |            | Three     | Lynch     | Kenny &   | 2018      | makes     |
| .org/wiki/ |            |            | Lives and |           | Lisa      |           | Holiday's |
| Jessica_Jo |            |            | Counting" |           | Randolph  |           | death     |
| nes_(seaso |            |            |           |           |           |           | look like |
| n_2)       |            |            |           |           |           |           | suicide,  |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | begins    |
|            |            |            |           |           |           |           | having ha |
|            |            |            |           |           |           |           | llucinati |
|            |            |            |           |           |           |           | ons of    |
|            |            |            |           |           |           |           | Kilgrave. |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | knocks    |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | out and   |
|            |            |            |           |           |           |           | restrains |
|            |            |            |           |           |           |           | him, and  |
|            |            |            |           |           |           |           | asks      |
|            |            |            |           |           |           |           | Malus to  |
|            |            |            |           |           |           |           | give her  |
|            |            |            |           |           |           |           | abilities |
|            |            |            |           |           |           |           | like Jess |
|            |            |            |           |           |           |           | ica's.    |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | arrives   |
|            |            |            |           |           |           |           | with the  |
|            |            |            |           |           |           |           | passport  |
|            |            |            |           |           |           |           | from      |
|            |            |            |           |           |           |           | Arocho to |
|            |            |            |           |           |           |           | give to   |
|            |            |            |           |           |           |           | Malus, to |
|            |            |            |           |           |           |           | find him  |
|            |            |            |           |           |           |           | gone. She |
|            |            |            |           |           |           |           | tracks    |
|            |            |            |           |           |           |           | them down |
|            |            |            |           |           |           |           | just as   |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | escapes,  |
|            |            |            |           |           |           |           | but Trish |
|            |            |            |           |           |           |           | manages   |
|            |            |            |           |           |           |           | to get    |
|            |            |            |           |           |           |           | away with |
|            |            |            |           |           |           |           | Malus.    |
|            |            |            |           |           |           |           | With      |
|            |            |            |           |           |           |           | Holiday   |
|            |            |            |           |           |           |           | dead,     |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | gets a    |
|            |            |            |           |           |           |           | new guard |
|            |            |            |           |           |           |           | who       |
|            |            |            |           |           |           |           | treats    |
|            |            |            |           |           |           |           | her well. |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | berates   |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | for not   |
|            |            |            |           |           |           |           | trusting  |
|            |            |            |           |           |           |           | her, and  |
|            |            |            |           |           |           |           | for       |
|            |            |            |           |           |           |           | taking    |
|            |            |            |           |           |           |           | advantage |
|            |            |            |           |           |           |           | of their  |
|            |            |            |           |           |           |           | working r |
|            |            |            |           |           |           |           | elationsh |
|            |            |            |           |           |           |           | ip. They  |
|            |            |            |           |           |           |           | both      |
|            |            |            |           |           |           |           | agree     |
|            |            |            |           |           |           |           | that he   |
|            |            |            |           |           |           |           | should no |
|            |            |            |           |           |           |           | longer    |
|            |            |            |           |           |           |           | work for  |
|            |            |            |           |           |           |           | her.      |
|            |            |            |           |           |           |           | Malus     |
|            |            |            |           |           |           |           | takes     |
|            |            |            |           |           |           |           | Trish to  |
|            |            |            |           |           |           |           | the old   |
|            |            |            |           |           |           |           | IGH       |
|            |            |            |           |           |           |           | facility, |
|            |            |            |           |           |           |           | where he  |
|            |            |            |           |           |           |           | begins to |
|            |            |            |           |           |           |           | put her   |
|            |            |            |           |           |           |           | through   |
|            |            |            |           |           |           |           | the same  |
|            |            |            |           |           |           |           | process   |
|            |            |            |           |           |           |           | that      |
|            |            |            |           |           |           |           | changed   |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | Alisa.    |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | arrives   |
|            |            |            |           |           |           |           | and stops |
|            |            |            |           |           |           |           | the proce |
|            |            |            |           |           |           |           | dure, and |
|            |            |            |           |           |           |           | then is   |
|            |            |            |           |           |           |           | almost    |
|            |            |            |           |           |           |           | convinced |
|            |            |            |           |           |           |           | by her ha |
|            |            |            |           |           |           |           | llucinati |
|            |            |            |           |           |           |           | on of     |
|            |            |            |           |           |           |           | Kilgrave  |
|            |            |            |           |           |           |           | to murder |
|            |            |            |           |           |           |           | Malus.    |
|            |            |            |           |           |           |           | She stops |
|            |            |            |           |           |           |           | herself,  |
|            |            |            |           |           |           |           | but he    |
|            |            |            |           |           |           |           | decides   |
|            |            |            |           |           |           |           | to end    |
|            |            |            |           |           |           |           | his own   |
|            |            |            |           |           |           |           | life.     |
|            |            |            |           |           |           |           | Malus     |
|            |            |            |           |           |           |           | destroys  |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | facility  |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | himself   |
|            |            |            |           |           |           |           | inside    |
|            |            |            |           |           |           |           | it, while |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | gets      |
|            |            |            |           |           |           |           | Trish to  |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | hospital. |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | learns of |
|            |            |            |           |           |           |           | Malus'    |
|            |            |            |           |           |           |           | death via |
|            |            |            |           |           |           |           | a news    |
|            |            |            |           |           |           |           | report,   |
|            |            |            |           |           |           |           | kills her |
|            |            |            |           |           |           |           | new guard |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | escapes   |
|            |            |            |           |           |           |           | from      |
|            |            |            |           |           |           |           | prison.   |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 25         | 12         | "AKA Pray | Liz Fried | Raelle    | March 8,  | Alisa     |
| .wikipedia |            |            | for My    | lander    | Tucker &  | 2018      | goes      |
| .org/wiki/ |            |            | Patsy"    |           | Hilly     |           | looking   |
| Jessica_Jo |            |            |           |           | Hicks Jr. |           | for       |
| nes_(seaso |            |            |           |           |           |           | Trish,    |
| n_2)       |            |            |           |           |           |           | blaming   |
|            |            |            |           |           |           |           | her for   |
|            |            |            |           |           |           |           | Malus'    |
|            |            |            |           |           |           |           | death.    |
|            |            |            |           |           |           |           | She terro |
|            |            |            |           |           |           |           | rizes the |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | Talk      |
|            |            |            |           |           |           |           | studio,   |
|            |            |            |           |           |           |           | before    |
|            |            |            |           |           |           |           | seeing    |
|            |            |            |           |           |           |           | Trish's   |
|            |            |            |           |           |           |           | mother in |
|            |            |            |           |           |           |           | an        |
|            |            |            |           |           |           |           | interview |
|            |            |            |           |           |           |           | discussin |
|            |            |            |           |           |           |           | g why     |
|            |            |            |           |           |           |           | Trish is  |
|            |            |            |           |           |           |           | now hospi |
|            |            |            |           |           |           |           | talized.  |
|            |            |            |           |           |           |           | She finds |
|            |            |            |           |           |           |           | Jessica p |
|            |            |            |           |           |           |           | rotecting |
|            |            |            |           |           |           |           | Trish at  |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | hospital, |
|            |            |            |           |           |           |           | but still |
|            |            |            |           |           |           |           | attempts  |
|            |            |            |           |           |           |           | to kill   |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | latter.   |
|            |            |            |           |           |           |           | When      |
|            |            |            |           |           |           |           | Costa and |
|            |            |            |           |           |           |           | his       |
|            |            |            |           |           |           |           | partner,  |
|            |            |            |           |           |           |           | Ruth      |
|            |            |            |           |           |           |           | Sunday,   |
|            |            |            |           |           |           |           | arrive    |
|            |            |            |           |           |           |           | they try  |
|            |            |            |           |           |           |           | to arrest |
|            |            |            |           |           |           |           | Alisa.    |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | tries to  |
|            |            |            |           |           |           |           | talk      |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | down, but |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | grabs     |
|            |            |            |           |           |           |           | Sunday    |
|            |            |            |           |           |           |           | and jumps |
|            |            |            |           |           |           |           | out of    |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | hospital, |
|            |            |            |           |           |           |           | letting   |
|            |            |            |           |           |           |           | Sunday    |
|            |            |            |           |           |           |           | fall to   |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | death.    |
|            |            |            |           |           |           |           | Costa     |
|            |            |            |           |           |           |           | tells     |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | to stay   |
|            |            |            |           |           |           |           | out of    |
|            |            |            |           |           |           |           | the way   |
|            |            |            |           |           |           |           | of the    |
|            |            |            |           |           |           |           | police,   |
|            |            |            |           |           |           |           | but       |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | secretly  |
|            |            |            |           |           |           |           | organizes |
|            |            |            |           |           |           |           | to meet   |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | Alisa at  |
|            |            |            |           |           |           |           | Trish's a |
|            |            |            |           |           |           |           | partment. |
|            |            |            |           |           |           |           | Meanwhile |
|            |            |            |           |           |           |           | , Trish   |
|            |            |            |           |           |           |           | is angry  |
|            |            |            |           |           |           |           | at        |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | for       |
|            |            |            |           |           |           |           | stopping  |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | procedure |
|            |            |            |           |           |           |           | early,    |
|            |            |            |           |           |           |           | but soon  |
|            |            |            |           |           |           |           | begins to |
|            |            |            |           |           |           |           | have      |
|            |            |            |           |           |           |           | violent c |
|            |            |            |           |           |           |           | onvulsion |
|            |            |            |           |           |           |           | s.        |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | tracks    |
|            |            |            |           |           |           |           | down      |
|            |            |            |           |           |           |           | Green,    |
|            |            |            |           |           |           |           | and tells |
|            |            |            |           |           |           |           | her a fab |
|            |            |            |           |           |           |           | ricated   |
|            |            |            |           |           |           |           | story     |
|            |            |            |           |           |           |           | about     |
|            |            |            |           |           |           |           | Ryback    |
|            |            |            |           |           |           |           | secretly  |
|            |            |            |           |           |           |           | conning   |
|            |            |            |           |           |           |           | multiple  |
|            |            |            |           |           |           |           | women.    |
|            |            |            |           |           |           |           | Giving    |
|            |            |            |           |           |           |           | Green a   |
|            |            |            |           |           |           |           | gun,      |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | watches   |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | confront  |
|            |            |            |           |           |           |           | Ryback    |
|            |            |            |           |           |           |           | and shoot |
|            |            |            |           |           |           |           | him.      |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | then      |
|            |            |            |           |           |           |           | calls the |
|            |            |            |           |           |           |           | police.   |
|            |            |            |           |           |           |           | At        |
|            |            |            |           |           |           |           | Trish's a |
|            |            |            |           |           |           |           | partment, |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | considers |
|            |            |            |           |           |           |           | killing   |
|            |            |            |           |           |           |           | Alisa,    |
|            |            |            |           |           |           |           | but is    |
|            |            |            |           |           |           |           | unable to |
|            |            |            |           |           |           |           | do it.    |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | knocks    |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | out and   |
|            |            |            |           |           |           |           | kidnaps   |
|            |            |            |           |           |           |           | her.      |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 26         | 13         | "AKA      | Uta Bries | Story by  | March 8,  | Jessica   |
| .wikipedia |            |            | Playland" | ewitz     | : Jesse   | 2018      | attempts  |
| .org/wiki/ |            |            |           |           | Harris    |           | to resist |
| Jessica_Jo |            |            |           |           |  Teleplay |           | Alisa,    |
| nes_(seaso |            |            |           |           | by :      |           | but event |
| n_2)       |            |            |           |           | Melissa   |           | ually     |
|            |            |            |           |           | Rosenberg |           | decides   |
|            |            |            |           |           |           |           | to work   |
|            |            |            |           |           |           |           | with her. |
|            |            |            |           |           |           |           | They      |
|            |            |            |           |           |           |           | drive     |
|            |            |            |           |           |           |           | towards   |
|            |            |            |           |           |           |           | the Mexic |
|            |            |            |           |           |           |           | o–U.S.    |
|            |            |            |           |           |           |           | border,   |
|            |            |            |           |           |           |           | saving a  |
|            |            |            |           |           |           |           | family    |
|            |            |            |           |           |           |           | caught in |
|            |            |            |           |           |           |           | a traffic |
|            |            |            |           |           |           |           | accident  |
|            |            |            |           |           |           |           | on the    |
|            |            |            |           |           |           |           | way.      |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | meets     |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | Arocho to |
|            |            |            |           |           |           |           | arrange   |
|            |            |            |           |           |           |           | new       |
|            |            |            |           |           |           |           | papers so |
|            |            |            |           |           |           |           | they can  |
|            |            |            |           |           |           |           | cross the |
|            |            |            |           |           |           |           | border,   |
|            |            |            |           |           |           |           | but he is |
|            |            |            |           |           |           |           | followed  |
|            |            |            |           |           |           |           | by the    |
|            |            |            |           |           |           |           | police.   |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | and Alisa |
|            |            |            |           |           |           |           | then      |
|            |            |            |           |           |           |           | drive     |
|            |            |            |           |           |           |           | towards   |
|            |            |            |           |           |           |           | the Canad |
|            |            |            |           |           |           |           | a–U.S.    |
|            |            |            |           |           |           |           | border,   |
|            |            |            |           |           |           |           | but are c |
|            |            |            |           |           |           |           | onfronted |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | police    |
|            |            |            |           |           |           |           | road      |
|            |            |            |           |           |           |           | blocks.   |
|            |            |            |           |           |           |           | They then |
|            |            |            |           |           |           |           | go to the |
|            |            |            |           |           |           |           | nearby    |
|            |            |            |           |           |           |           | amusement |
|            |            |            |           |           |           |           | park      |
|            |            |            |           |           |           |           | Playland, |
|            |            |            |           |           |           |           | where     |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | decides   |
|            |            |            |           |           |           |           | to wait   |
|            |            |            |           |           |           |           | until the |
|            |            |            |           |           |           |           | police    |
|            |            |            |           |           |           |           | arrive.   |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | sees a    |
|            |            |            |           |           |           |           | news      |
|            |            |            |           |           |           |           | report on |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | traffic   |
|            |            |            |           |           |           |           | accident  |
|            |            |            |           |           |           |           | and talks |
|            |            |            |           |           |           |           | to Costa  |
|            |            |            |           |           |           |           | about the |
|            |            |            |           |           |           |           | road      |
|            |            |            |           |           |           |           | blocks. R |
|            |            |            |           |           |           |           | ememberin |
|            |            |            |           |           |           |           | g that    |
|            |            |            |           |           |           |           | the Jones |
|            |            |            |           |           |           |           | family    |
|            |            |            |           |           |           |           | had       |
|            |            |            |           |           |           |           | visited   |
|            |            |            |           |           |           |           | Playland  |
|            |            |            |           |           |           |           | before    |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | accident, |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | goes      |
|            |            |            |           |           |           |           | there and |
|            |            |            |           |           |           |           | kills     |
|            |            |            |           |           |           |           | Alisa.    |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | takes the |
|            |            |            |           |           |           |           | blame,    |
|            |            |            |           |           |           |           | but does  |
|            |            |            |           |           |           |           | not       |
|            |            |            |           |           |           |           | forgive   |
|            |            |            |           |           |           |           | Trish.    |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | later     |
|            |            |            |           |           |           |           | discovers |
|            |            |            |           |           |           |           | that her  |
|            |            |            |           |           |           |           | reflexes  |
|            |            |            |           |           |           |           | appear to |
|            |            |            |           |           |           |           | be height |
|            |            |            |           |           |           |           | ened.     |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | gives the |
|            |            |            |           |           |           |           | blackmail |
|            |            |            |           |           |           |           | material  |
|            |            |            |           |           |           |           | he found  |
|            |            |            |           |           |           |           | to        |
|            |            |            |           |           |           |           | Hogarth,  |
|            |            |            |           |           |           |           | allowing  |
|            |            |            |           |           |           |           | her to    |
|            |            |            |           |           |           |           | leave the |
|            |            |            |           |           |           |           | law firm  |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | enough    |
|            |            |            |           |           |           |           | money to  |
|            |            |            |           |           |           |           | start her |
|            |            |            |           |           |           |           | own.      |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | then      |
|            |            |            |           |           |           |           | begins    |
|            |            |            |           |           |           |           | working   |
|            |            |            |           |           |           |           | for       |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | as part   |
|            |            |            |           |           |           |           | of        |
|            |            |            |           |           |           |           | Cheng's   |
|            |            |            |           |           |           |           | agency.   |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | embraces  |
|            |            |            |           |           |           |           | some      |
|            |            |            |           |           |           |           | aspects   |
|            |            |            |           |           |           |           | of normal |
|            |            |            |           |           |           |           | life with |
|            |            |            |           |           |           |           | Arocho.   |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
